fichier_af,fichier_apx,num_arg,num_ext,semantique,methode,fiabilite,fiabilite_observee,repetition,verite,EXT_AR,CSS_S_sum,CSS_S_min,CSS_S_leximin,CSS_D_sum,CSS_D_min,CSS_D_leximin,CSS_U_sum,CSS_U_min,CSS_U_leximin
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.2_rep1.apx,20,8,PR,uniforme,0.2,0.2,1,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a7', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.2_rep2.apx,20,8,PR,uniforme,0.2,0.2,2,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']","[['a0', 'a1', 'a4', 'a7', 'a9', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a19'], ['a0', 'a3', 'a4', 'a7', 'a9', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.2_rep3.apx,20,8,PR,uniforme,0.2,0.2,3,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a8', 'a10', 'a11', 'a12', 'a13', 'a14', 'a15', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.2_rep4.apx,20,8,PR,uniforme,0.2,0.2,4,"['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']","[['a0', 'a3', 'a4', 'a7', 'a9', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.2_rep5.apx,20,8,PR,uniforme,0.2,0.2,5,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a8', 'a10', 'a11', 'a12', 'a13', 'a14', 'a15', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.3_rep1.apx,20,8,PR,uniforme,0.3,0.3,1,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a14', 'a15', 'a16', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.3_rep2.apx,20,8,PR,uniforme,0.3,0.3,2,"['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']","[['a0', 'a3', 'a4', 'a7', 'a9', 'a11', 'a13', 'a14', 'a16', 'a17', 'a19'], ['a2', 'a3', 'a4', 'a5', 'a6', 'a8', 'a10', 'a11', 'a13', 'a14', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.3_rep3.apx,20,8,PR,uniforme,0.3,0.3,3,"['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a8', 'a10', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19'], ['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.3_rep4.apx,20,8,PR,uniforme,0.3,0.3,4,"['a3', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a7', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
BA-numArg20-pbCycle0.3-0.apx,PR_uniforme_0.3_rep5.apx,20,8,PR,uniforme,0.3,0.3,5,"['a3', 'a4', 'a5', 'a6', 'a7', 'a9', 'a11', 'a12', 'a13', 'a16', 'a18', 'a19']","[['a1', 'a2', 'a4', 'a5', 'a6', 'a8', 'a10', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19'], ['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a14', 'a15', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]","[['a1', 'a4', 'a5', 'a6', 'a8', 'a9', 'a10', 'a11', 'a13', 'a16', 'a17', 'a18', 'a19']]"
